id,text,label
1,"WHICH streaming device to replace Roku? I watch mostly YouTube TV library recordings and Netflix on standard (non-4K) TVs. I need a remote with power/volume/mute and 30-second skip forward and back which I use constantly. Would Chromecast or Fire Stick be better, and do they support commercial skipping on recorded shows?",help_request
2,"Look at the review articles on CNET and PCMag and figure out your own specifications from there.",noise
3,"Fire Stick or NVIDIA Shield.",noise
4,"Those review articles don't actually answer my question about whether either device lets you skip commercials on recorded shows. That's the whole reason I'm asking here.",help_request
5,"I'd say NVIDIA Shield is the best option and the Fire Series would be next. Bear in mind though that some of these service issues can follow you regardless of which hardware you pick.",helpful_answer
6,"Check out this great TV streaming service, sign up here for the best channels and prices!",noise
7,"You should remember the people answering here are unpaid volunteers, so watch the attitude. You could try the Roku mobile apps or just upgrade to a Smart TV.",noise
8,"Fire TV Stick or Chromecast with Google TV would both work well for you. I've had fewer playback issues with those than with the older Roku Express models.",helpful_answer
9,"Locking this one. Responses to a topic this old aren't likely to be useful to anyone now.",noise
10,"I bought a Netgear AC1900 USB adapter and accidentally misconfigured my router, so I upgraded to a BE6500 RS200. My 10+ year old Win7 tower rejected the setup links as unsafe certificates but my laptop had no problem, so I set it up from the laptop. Best wifi speed before was 120 megs, now it's consistently 220-240+. Totally freaked me out in a good way.",help_request
11,"Verify the speeds actually match your internet plan, and check the router for a firmware update. Curious why the tower hit certificate issues but the laptop didn't?",helpful_answer
12,"The tower runs Windows 7 with a bunch of security add-ons, so it's impractical to disable them all. I was just happy to find another way to get it set up.",help_request
13,"Yeah, router troubleshooting can be a real headache. I feel your pain.",noise
14,"Well, the router died overnight - no WiFi and the indicator lights are gone. Dreading the support call already.",help_request
15,"Thanks Pkshadow, that was good info.",noise
16,"It's all sorted now, the downstairs laptop matches the upstairs tower. Could a mod please remove the photo I posted earlier?",noise
17,"The certificate failures could come down to DNS resolution differences, or an IPv6/IPv4 fallback behaving differently between the two machines.",helpful_answer
18,"I'm getting intermittent UPnP streaming problems on Windows 11. I use Foobar/MediaMonkey as control points streaming FLAC to a Mano streamer (piCore - LMS) over a wired connection. One time it works fine for hours, but after the next boot or next day it does not work at all.",help_request
19,"Check the device drivers in Device Manager, and stop Windows Update from auto-updating your sound device drivers - that driver instability can cause exactly this kind of thing.",helpful_answer
20,"Are you using a static IP for the streamer, or is it on DHCP?",helpful_answer
21,"The picore player uses DHCP, but the IP address has stayed the same for two years, so I doubt the address is changing on me.",help_request
22,"That's a MAGNA HIFI MANO ULTRA MKII running piCorePlayer v8.0.0 with Squeezelite v1.9.9-1430-pCP. Here's the manual link for the advanced configuration so you can check the service startup order.",helpful_answer
23,"I found a workaround: if Foobar fails to connect, launching MediaMonkey afterwards gets playback working in Foobar again. It stopped working on picore 9 though, so I reverted to 8.2.",help_request
24,"This is just scummy what Roku did, they made every one of their users sign new terms (so you can't sue them) right before the breach came out. The timing is suspicious.",help_request
25,"I suggest they already knew. Keep an eye out for a class action.",noise
26,"Assuming what Roku has said about how the account info was obtained is true, the Roku customer is to blame. The credentials were almost certainly stolen from other data breaches, not from Roku's own systems.",helpful_answer
27,"I never got an email from Roku either, but I changed my password anyway just to be safe.",noise
28,"The fact that you weren't notified at all is suspicious and is reason enough not to trust or use Roku. A responsible company notifies all of its users during a breach.",helpful_answer
29,"I still think they had foreknowledge and pushed the new terms to shield themselves legally.",noise
30,"Notifying only the ~15,000 affected accounts is actually proper protocol when the credentials came from an external source rather than their own systems.",helpful_answer
31,"How safe is it really to let your browser store passwords, then?",help_request
32,"Industry best practice is still a company-wide notification when there's any breach, even if only some accounts were used.",helpful_answer
33,"And for what it's worth, my credentials were compromised through other means, not through browser storage.",helpful_answer
34,"There's a YouTube video by Louis that goes into this and backs up the skepticism about Roku.",noise
35,"How do I choose the best VPN between VPN Unlimited and PIA (Private Internet Access) for streaming?",help_request
36,"For a streaming VPN, weigh the server network, speed, streaming compatibility, security, ease of use, pricing, and a strict no-logs policy. The no-logs commitment matters most if privacy is your concern.",helpful_answer
37,"Using express vpn, fast and reliable and also safe, dont go for free vpn.",noise
38,"Your suggestions are now moving from next to useless into outright promotion of a product without any of the explanation that's needed.",noise
39,"very helpful comment, i read it, thanks for sharing!",noise
40,"I'm trying to add apps to my LG smart TV to get around the ads but I can't seem to add them. The built-in YouTube app is so limited.",help_request
41,"LG TVs can't run Android apps - the clue is in the name, LG Web OS. It's a proprietary system and you can't sideload onto it. Cast from your phone to the TV instead.",helpful_answer
42,"I hate that stupid youtube app. It has absolutely nothing. Maybe I'll just get a Fire Stick.",noise
43,"If you did get a Firestick you'd at least have the option of sideloading apps - though honestly the YouTube app looks almost identical on it too.",helpful_answer
44,"Next time I'm gettin' a better tv. Sick of LG's ads and tracking software and having to hack around their limits.",noise
45,"A laptop and an HDMI cable? That's what my wife uses.",helpful_answer
46,"I think you can use a cabled connection or like you say an HDMI. Probably better control than a Chromecast anyway.",noise
47,"I have my tower PC connected to the TV with a 5 metre HDMI lead, and I control it from the couch with a backlit wireless keyboard that has a built-in touchpad. Works great.",helpful_answer
48,"I think almost any reasonably modern laptop will connect fine to a current TV over HDMI.",helpful_answer
49,"I'd like to Thank you PaperClip!!! Got it working with Windows Connect once I disabled Bluetooth. I've been watching bleep ever since.",noise
50,"When I do it on my TV, I click on Connect and Windows scans for devices, then it shows up.",helpful_answer
51,"I don't get a Duplicate option. It only shows up if I go into the different screen settings.",help_request
52,"After you've connected, click Connect again and you'll see options in blue writing for the projection/mirror mode. I've attached screenshots showing where.",helpful_answer
53,"I'm not sure it appears 'Blue' lol. It shows highlighted. But I see the menu now.",noise
54,"Just wanted to say I picked up a Targus laptop cooling pad at a secondhand store for $10. So lucky, it really cut down the heat while streaming.",noise
55,"My Firestick 4K now plays show/movie trailers in French, Italian or Spanish for no reason, and factory resets do nothing. It's been unreliable for months.",help_request
56,"No idea, other than a friend went through about 6 of them last year.",noise
57,"You'd think with Amazon's profit margins they could afford to write software that actually works.",noise
58,"On top of that, my watchlist items aren't even showing up anymore. The problems keep piling on.",help_request
59,"I think that same friend ended up switching to Chromecast because of problems like these.",noise
60,"Wow.",noise
61,"Amazon announced hardware department layoffs in late 2022, so I doubt these problems get fixed any time soon.",noise
62,"And the customer service call was painful - the rep asked me the exact same question 5 times despite my answering it.",noise
63,"Amazon doesn't even warn you AFTER it's happened that content was removed while you had it paused. Terrible experience.",noise
64,"The Amazon Firestick is used as a streaming device, period. The rep was probably just trying to confirm which app you meant, which is a reasonable question.",helpful_answer
65,"Remember when streaming was going to be so wonderful?",noise
66,"After eight months and several firmware updates there's been no change, so I'm just going to get a used Nvidia Shield Pro.",noise
67,"For what it's worth I haven't had any real issues with a FireStick Lite. Makes me wonder if some of this is location or network related on your end.",helpful_answer
68,"Are the cheap Android boxes a malware risk? Thanks for the input, I'll try the Nvidia Shield eventually.",help_request
69,"It's the no-name boxes sold through online marketplaces that are the problematic ones for malware. You can mitigate a lot of it with PiHole network filtering.",helpful_answer
70,"Hello, I have a streaming issue and I don't see a forum sub-topic where I can get help. Where do I get assistance here?",help_request
71,"Describe your issue - that'll help us work out which forum to move your topic to, such as External Hardware.",helpful_answer
72,"My new LG Smart TV freezes and buffers for 20-30 seconds with Roku, while two other TVs with Roku sticks work fine. I'd rather troubleshoot it than return it.",help_request
73,"Here's the link to the Network Streaming Devices forum section.",noise
74,"Check the Roku connection speed, then remove the device and swap it with one of your working units, and try different HDMI ports. You'll find the speed under Settings > Network > About.",helpful_answer
75,"The Roku is built into the TV, not a separate device, and I'm having trouble even finding the Roku settings.",help_request
76,"What's the exact model number of the TV?",helpful_answer
77,"On an LG Roku TV, press the Home button on the remote and you'll get to the settings from there - here are the steps.",helpful_answer
78,"Always supply make/model. Note: NEW TV. Call LG.",noise
79,"The model is 50UT7570PUB. I'm honestly not even sure whether Roku is involved in the problem.",help_request
80,"Here's a link to the full specifications for that TV.",helpful_answer
81,"Are there any truly free VPNs available? Most of the ones I've seen say they're free but then charge once you get into them. Also, does a Chromebook come with a free VPN built in?",help_request
82,"Take a look at ProtonVPN and Windscribe - both have genuine free tiers, though with some feature limitations.",helpful_answer
83,"On ProtonVPN's free version you can only connect to Japan, the Netherlands and the USA, and the bandwidth is limited.",helpful_answer
84,"There's a MakeUseOf article that compares the free VPN services and their speeds - worth a read.",helpful_answer
85,"Try PureVPN, they have a 7-day risk-free trial with all features for new users.",noise
86,"Chromebooks have built-in VPN support for L2TP over IPsec connections, though you may need certificates depending on the network type.",helpful_answer
87,"I've used Hola VPN, Touch VPN and ProtonVPN without any issues.",noise
88,"ProtonVPN's paid service is good, they've had Black Friday discounts before.",noise
89,"I recommend HolaVPN.",noise
90,"You could try SPL VPN, iTopVPN, or NordVPN - SPL VPN is my favorite among the free ones.",noise
91,"I've been looking for a good VPN and there are so many out there. What I want: works on pc, mac, firestick, amazon prime, lets me jump between countries to watch shows there, and not too expensive.",help_request
92,"Here, let me google that for you.",noise
93,"ProtonVPN's free tier is a good start. For comparing options properly, check thatoneprivacysite.net and privacytools.io.",helpful_answer
94,"Keep in mind a VPN usually slows your network speed, so test with the free trials before paying for anything.",helpful_answer
95,"Install HMA VPN, pick a location in the country whose shows you want, and you can also just leave it on for normal browsing.",helpful_answer
